date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:42	611/611	---M--	200	added ('OK')	image/png	etag:%22263-5f03be4c8bc1f%22	https://crsorgi.gov.in/web/uploads/qrCode_Birth/10/20-12-2022/005_file_7c0d9f11c730be7b252d7583bba02920.png	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/uploads/qrCode_Birth/10/20-12-2022/005_file_7c0d9f11c730be7b252d7583bba02920.png	(from https://crsorgi.gov.in/web/index.php/auth/birthCertificate/view/cert/B/dm82VzczY2pNUCsxbkM0OHpzajNkZz09%3D%3D)
11:13:42	1230/1230	---M--	200	added ('OK')	image/jpeg	etag:%224ce-5bda744434280%22	https://crsorgi.gov.in/web/images/header-top-strip.jpg	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/header-top-strip.jpg	(from https://crsorgi.gov.in/web/css/style.css)
11:13:43	28079/28079	---M--	200	added ('OK')	image/jpeg	etag:%226daf-5bda744434280%22	https://crsorgi.gov.in/web/images/herader-right-bg.jpg	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/herader-right-bg.jpg	(from https://crsorgi.gov.in/web/css/style.css)
11:13:43	1180/1180	---M--	200	added ('OK')	image/jpeg	etag:%2249c-5bda7445284c0%22	https://crsorgi.gov.in/web/images/top-menu-bg.jpg	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/top-menu-bg.jpg	(from https://crsorgi.gov.in/web/css/style.css)
11:13:43	15942/15942	---M--	200	added ('OK')	image/jpeg	etag:%223e46-5bda7445284c0%22	https://crsorgi.gov.in/web/images/top-title-strip.jpg	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/top-title-strip.jpg	(from https://crsorgi.gov.in/web/css/style.css)
11:13:43	1306/1306	---M--	200	added ('OK')	image/gif	etag:%2251a-5bda744434280%22	https://crsorgi.gov.in/web/images/doted-bull.gif	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/doted-bull.gif	(from https://crsorgi.gov.in/web/css/style.css)
11:13:44	2085/2085	---M--	200	added ('OK')	image/gif	etag:%22825-5bda7445284c0%22	https://crsorgi.gov.in/web/images/none-bull.gif	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/none-bull.gif	(from https://crsorgi.gov.in/web/css/style.css)
11:13:44	1168/1168	---M--	200	added ('OK')	image/jpeg	etag:%22490-5bda7445284c0%22	https://crsorgi.gov.in/web/images/welcome-strip-bg.jpg	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/welcome-strip-bg.jpg	(from https://crsorgi.gov.in/web/css/style.css)
11:13:44	1225/1225	---M--	200	added ('OK')	image/jpeg	etag:%224c9-5bda744434280%22	https://crsorgi.gov.in/web/images/form-title-strip.jpg	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/form-title-strip.jpg	(from https://crsorgi.gov.in/web/css/style.css)
11:13:44	26275/26275	---M--	200	added ('OK')	image/gif	etag:%2266a3-5bda7445284c0%22	https://crsorgi.gov.in/web/images/water-mark.gif	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/water-mark.gif	(from https://crsorgi.gov.in/web/css/style.css)
11:13:45	2608/2608	---M--	200	added ('OK')	image/gif	etag:%22a30-5bda744434280%22	https://crsorgi.gov.in/web/images/busy.gif	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/busy.gif	(from https://crsorgi.gov.in/web/css/style.css)
11:13:45	7963/7963	---M--	200	added ('OK')	image/jpeg	etag:%221f1b-5bda744434280%22	https://crsorgi.gov.in/web/images/cla-edit.jpg	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/cla-edit.jpg	(from https://crsorgi.gov.in/web/css/style.css)
11:13:45	1434/1434	---M--	200	added ('OK')	image/gif	etag:%2259a-5bda744434280%22	https://crsorgi.gov.in/web/images/btn-bg.gif	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/btn-bg.gif	(from https://crsorgi.gov.in/web/css/main.css)
11:13:45	832/832	---M--	200	added ('OK')	image/png	etag:%22340-5bda7445284c0%22	https://crsorgi.gov.in/web/images/refresh1.png	C:/My%20Web%20Sites/hh/crsorgi.gov.in/web/images/refresh1.png	(from https://crsorgi.gov.in/web/css/main.css)
